,question
615,Which city had the charleston area convention center as its callback location
616,When did the callbacks from  rancho bernardo inn air
617,The station located in Albuquerque has been owned since what year?
618,What channels have stations that were affiliated in 2002?
619,What market is KTFK-DT in?
620," what's the engine where performance is 0–100km/h: 10.5s, vmax km/h (mph)"
621, what's the turbo where trim is 2.0 20v
622," what's the torque where performance is 0–100km/h: 7.5s auto, vmax: km/h (mph)"
623, what's the transmission where turbo is yes (mitsubishi td04-16t )
624, what's the fuel delivery where power is hp (kw) @6500 rpm
625,""" what's the engine with turbo being yes (mitsubishi td04-15g ) """
626,What is the english title that has finale as 33 and peak as 42?
627,What is the english title where the premiere is less than 30.0 and the finale is bigger than 36.0?
628,What is the rank of the chinese title 緣來自有機?
629,What amount is the number of hk viewers where chinese title is 十兄弟?
630,"What is the weekly rank with an air date is november 12, 2007?"
631,"What is the air date of the episode ""blowback""?"
632,"What is the lowest weekly rank with an air date of november 26, 2007?"
633,What is the episode where 18-49 has a rating/share of 3.5/9
634,What is the viewers where the rating is 5.3?
635,What is the 18-49 rating/share where the viewers is 5.61?
636,What is the highest of balmoor/
637,What is the number of capacity at somerset park?
638,What is the minimum capacity where airdrie united is?
639,What is the stadium for alloa athletic?
640,What is the highest of ayr united?
641,When are team Galway's dates of appointment?
642,When are the vacancy dates for outgoing manager Damien Fox?
643,When is the date of vacancy of Davy Fitzgerald being a replacement?
644,Which team has the outgoing manager John Meyler?
645,How many times is 3 credits 180?
646,What is the hand for 4 credits is 1600?
647,How many 3 credits are there with 5 credits of 5?
648,How many 4 credits is the hand two pair?
649,What duration is listed for Christian de la Fuente?
650,What was the final episode for Dea Agent?
651,What days is greenock morton vacant?
652,What are the dates of the outgoing manager colin hendry does appointments? 
653,What teams does jim mcinally manage?
654,What days are vacant that were replaced by john brown?
655,What manner of departure is listed with an appointment date of 13 march 2008
656,What is the date of appointment for outgoing manager Campbell Money
657,What is the lowest attendance that East End Park has ever had?
658,What team plays at Palmerston Park?
659,What is the lowest attandance recorded at Cappielow?
660,What is the highest attendance at a game played by St. Johnstone?
661,What is the highest attandence at a Hamilton Academical game?
662," who is the champion where semi-finalist #2 is na and location is morrisville, nc"
663, what's the score where year is 2007
664,what is the total number of semi-finalist #2 where runner-up is east carolina
665, who is the semi-finalist #1 where runner-up is elon university
666, who is the runner-up where year is 2004 and champion is north carolina state
667," who is the runner-up where location is ellenton, fl and year is 2004"
668,what's the naturalisation  by marriage with numer of jamaicans granted british citizenship being 3165
669, how many numer of jamaicans granted british citizenship with naturalisation  by marriage being 1060
670,what's the naturalisation by marriage with regbeingtration of a minor child being 114
671,what's the numer of jamaicans granted british  citizenship with naturalisation by residence being 927
672,what is the maximum year with registration of a minor child being 281
673,"How many episodes had their first air date on March 6, 2008?"
674,"What were the results of episodes with the first air date of March 6, 2008?"
675,How many millions of viewers watched episode 15?
676,"How many millions of viewers watched the ""Throwing Heat"" episode?"
677,How many millions of viewers watched the episode directed by Anthony Hemingway?
678,The Catalog number is 80809 what is the title?
679,"where title is beginning callanetics , what is the total of format ?"
680,"where catalog number is 81258 , what are all the studio ?"
681,"where title is am/pm callanetics , what are all the copyright information?"
682,"What was the GF attendance at the location of Sydney Football Stadium, Sydney (6)?"
683,Which losing team had a score of 24-12?
684,What was the losing team in the 1993 season?
685,What was the compression ration when the engine was Wasp Jr. T1B2?
686,"What is the compression ration when the continuous power is hp (kw) at 2,200 RPM and the octane rating is 80/87?"
687,"What is the compression ratio when the continuous power is  hp (KW) at 2,200 RPM and the critical altitude is at sea level?"
688,"When the engine is Wasp Jr. T1B2, what is the number needed for takeoff power?"
689,"When critical altitude is sea level, what is the compression ration for a supercharger gear ratio of 7:1?"
690,"How many episodes aired on october 27, 2008"
691,"The episode ""chapter five: dressed to kill"" had a weekly ranking of what?"
692,"what is the most # that aired on september 29, 2008?"
693,How many seasons did the canterbury bulldogs (8) win?
694,"How many teams lost at the sydney football stadium, sydney (11)?"
695,What was the date that the st. george-illawarra dragons lost?
696,"Brett kimmorley, who was chosen for the clive churchill medal belonged to what team?"
697,What time slots have a 6.3 rating
698,"What time slot is the episode ""the way we weren't"" in"
699,"What time slot is the episode ""who's your daddy"" in"
